품목일련번호,is_capsule,shape,color,path,white,yellow,green,red_brown,black_blue_purple
198000160,0,원형,"white, white",D:/drug/cropped\198000160_0.jpg,1,0,0,0,0
198200166,1,장방형,"black_blue_purple, red_brown",D:/drug/cropped\198200166_0.jpg,0,0,0,1,1
198900462,1,장방형,"black_blue_purple, red_brown",D:/drug/cropped\198900462_0.jpg,0,0,0,1,1
198900463,0,원형,"white, white",D:/drug/cropped\198900463_0.jpg,1,0,0,0,0
199100569,1,장방형,"red_brown, yellow",D:/drug/cropped\199100569_0.jpg,0,1,0,1,0
199400486,0,원형,"white, white",D:/drug/cropped\199400486_0.jpg,1,0,0,0,0
199500435,1,장방형,"green, yellow",D:/drug/cropped\199500435_0.jpg,0,1,1,0,0
199900509,1,타원형,"yellow, yellow",D:/drug/cropped\199900509_0.jpg,0,1,0,0,0
200600115,0,타원형,"white, white",D:/drug/cropped\200600115_0.jpg,1,0,0,0,0
199500439,0,원형,"white, white",D:/drug/cropped\199500439_0.jpg,1,0,0,0,0
200400469,0,원형,"yellow, yellow",D:/drug/cropped\200400469_0.jpg,0,1,0,0,0
200500541,0,원형,"yellow, yellow",D:/drug/cropped\200500541_0.jpg,0,1,0,0,0
200500542,0,장방형,"yellow, yellow",D:/drug/cropped\200500542_0.jpg,0,1,0,0,0
199500630,0,장방형,"white, white",D:/drug/cropped\199500630_0.jpg,1,0,0,0,0
200803641,0,타원형,"white, white",D:/drug/cropped\200803641_0.jpg,1,0,0,0,0
198401066,0,원형,"white, white",D:/drug/cropped\198401066_0.jpg,1,0,0,0,0
200700844,0,장방형,"white, white",D:/drug/cropped\200700844_0.jpg,1,0,0,0,0
200606561,1,장방형,"green, green",D:/drug/cropped\200606561_0.jpg,0,0,1,0,0
198701585,0,원형,"white, white",D:/drug/cropped\198701585_0.jpg,1,0,0,0,0
200004064,0,원형,"red_brown, red_brown",D:/drug/cropped\200004064_0.jpg,0,0,0,1,0
200807284,0,타원형,"red_brown, red_brown",D:/drug/cropped\200807284_0.jpg,0,0,0,1,0
200502784,1,장방형,"red_brown, yellow",D:/drug/cropped\200502784_0.jpg,0,1,0,1,0
200502785,1,장방형,"green, yellow",D:/drug/cropped\200502785_0.jpg,0,1,1,0,0
200600576,0,타원형,"yellow, yellow",D:/drug/cropped\200600576_0.jpg,0,1,0,0,0
200701020,0,각형,"red_brown, red_brown",D:/drug/cropped\200701020_0.jpg,0,0,0,1,0
200701021,0,원형,"white, white",D:/drug/cropped\200701021_0.jpg,1,0,0,0,0
200701045,0,원형,"white, white",D:/drug/cropped\200701045_0.jpg,1,0,0,0,0
200805113,0,기타,"white, white",D:/drug/cropped\200805113_0.jpg,1,0,0,0,0
200400320,1,장방형,"green, green",D:/drug/cropped\200400320_0.jpg,0,0,1,0,0
200400322,0,장방형,"white, white",D:/drug/cropped\200400322_0.jpg,1,0,0,0,0
200400323,0,원형,"yellow, yellow",D:/drug/cropped\200400323_0.jpg,0,1,0,0,0
200500419,0,타원형,"red_brown, red_brown",D:/drug/cropped\200500419_0.jpg,0,0,0,1,0
200500421,0,원형,"red_brown, red_brown",D:/drug/cropped\200500421_0.jpg,0,0,0,1,0
199200183,0,원형,"white, white",D:/drug/cropped\199200183_0.jpg,1,0,0,0,0
199300168,0,원형,"white, white",D:/drug/cropped\199300168_0.jpg,1,0,0,0,0
200604180,0,원형,"green, green",D:/drug/cropped\200604180_0.jpg,0,0,1,0,0
196600007,0,원형,"yellow, yellow",D:/drug/cropped\196600007_0.jpg,0,1,0,0,0
198300146,1,장방형,"yellow, yellow",D:/drug/cropped\198300146_0.jpg,0,1,0,0,0
199000352,1,장방형,"white, white",D:/drug/cropped\199000352_0.jpg,1,0,0,0,0
200300266,0,원형,"yellow, yellow",D:/drug/cropped\200300266_0.jpg,0,1,0,0,0
200000175,0,장방형,"yellow, yellow",D:/drug/cropped\200000175_0.jpg,0,1,0,0,0
199300175,0,원형,"red_brown, red_brown",D:/drug/cropped\199300175_0.jpg,0,0,0,1,0
198300049,0,원형,"yellow, yellow",D:/drug/cropped\198300049_0.jpg,0,1,0,0,0
197600035,0,원형,"white, white",D:/drug/cropped\197600035_0.jpg,1,0,0,0,0
199600144,1,장방형,"red_brown, white",D:/drug/cropped\199600144_0.jpg,1,0,0,1,0
199400095,1,장방형,"white, white",D:/drug/cropped\199400095_0.jpg,1,0,0,0,0
198500049,1,장방형,"red_brown, yellow",D:/drug/cropped\198500049_0.jpg,0,1,0,1,0
199300958,0,원형,"yellow, yellow",D:/drug/cropped\199300958_0.jpg,0,1,0,0,0
199300959,0,원형,"yellow, yellow",D:/drug/cropped\199300959_0.jpg,0,1,0,0,0
199300960,0,원형,"yellow, yellow",D:/drug/cropped\199300960_0.jpg,0,1,0,0,0
200300661,0,기타,"green, green",D:/drug/cropped\200300661_0.jpg,0,0,1,0,0
200500881,1,장방형,"red_brown, red_brown",D:/drug/cropped\200500881_0.jpg,0,0,0,1,0
198900739,1,장방형,"yellow, yellow",D:/drug/cropped\198900739_0.jpg,0,1,0,0,0
197600141,0,원형,"white, white",D:/drug/cropped\197600141_0.jpg,1,0,0,0,0
199300454,1,장방형,"red_brown, red_brown",D:/drug/cropped\199300454_0.jpg,0,0,0,1,0
198800331,1,장방형,"black_blue_purple, yellow",D:/drug/cropped\198800331_0.jpg,0,1,0,0,1
199900349,0,원형,"white, white",D:/drug/cropped\199900349_0.jpg,1,0,0,0,0
200100383,0,원형,"yellow, yellow",D:/drug/cropped\200100383_0.jpg,0,1,0,0,0
200803961,0,원형,"yellow, yellow",D:/drug/cropped\200803961_0.jpg,0,1,0,0,0
197500185,1,장방형,"red_brown, yellow",D:/drug/cropped\197500185_0.jpg,0,1,0,1,0
198600436,1,장방형,"black_blue_purple, yellow",D:/drug/cropped\198600436_0.jpg,0,1,0,0,1
198900665,0,원형,"white, white",D:/drug/cropped\198900665_0.jpg,1,0,0,0,0
198800557,1,장방형,"white, white",D:/drug/cropped\198800557_0.jpg,1,0,0,0,0
200000554,0,원형,"white, white",D:/drug/cropped\200000554_0.jpg,1,0,0,0,0
197000037,0,타원형,"red_brown, red_brown",D:/drug/cropped\197000037_0.jpg,0,0,0,1,0
199700555,0,원형,"yellow, yellow",D:/drug/cropped\199700555_0.jpg,0,1,0,0,0
200001102,0,타원형,"white, white",D:/drug/cropped\200001102_0.jpg,1,0,0,0,0
199000708,1,타원형,"red_brown, red_brown",D:/drug/cropped\199000708_0.jpg,0,0,0,1,0
198700514,0,원형,"green, green",D:/drug/cropped\198700514_0.jpg,0,0,1,0,0
199500320,0,원형,"white, white",D:/drug/cropped\199500320_0.jpg,1,0,0,0,0
199500322,0,원형,"white, white",D:/drug/cropped\199500322_0.jpg,1,0,0,0,0
197700085,1,장방형,"green, green",D:/drug/cropped\197700085_0.jpg,0,0,1,0,0
199700556,0,원형,"white, white",D:/drug/cropped\199700556_0.jpg,1,0,0,0,0
200300274,0,원형,"green, green",D:/drug/cropped\200300274_0.jpg,0,0,1,0,0
200300277,0,타원형,"white, white",D:/drug/cropped\200300277_0.jpg,1,0,0,0,0
200803967,0,장방형,"yellow, yellow",D:/drug/cropped\200803967_0.jpg,0,1,0,0,0
198700511,1,장방형,"red_brown, yellow",D:/drug/cropped\198700511_0.jpg,0,1,0,1,0
197500186,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\197500186_0.jpg,0,0,0,0,1
198600437,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\198600437_0.jpg,0,0,0,0,1
198800558,0,원형,"white, white",D:/drug/cropped\198800558_0.jpg,1,0,0,0,0
198400322,0,원형,"red_brown, red_brown",D:/drug/cropped\198400322_0.jpg,0,0,0,1,0
200100391,0,장방형,"white, white",D:/drug/cropped\200100391_0.jpg,1,0,0,0,0
199400369,0,원형,"white, white",D:/drug/cropped\199400369_0.jpg,1,0,0,0,0
200200338,0,장방형,"yellow, yellow",D:/drug/cropped\200200338_0.jpg,0,1,0,0,0
199900728,1,장방형,"red_brown, red_brown",D:/drug/cropped\199900728_0.jpg,0,0,0,1,0
199900729,1,장방형,"red_brown, red_brown",D:/drug/cropped\199900729_0.jpg,0,0,0,1,0
199000707,0,원형,"white, white",D:/drug/cropped\199000707_0.jpg,1,0,0,0,0
198700513,0,타원형,"white, white",D:/drug/cropped\198700513_0.jpg,1,0,0,0,0
198900669,1,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\198900669_0.jpg,0,0,0,0,1
200001101,1,타원형,"yellow, yellow",D:/drug/cropped\200001101_0.jpg,0,1,0,0,0
197300104,0,원형,"white, white",D:/drug/cropped\197300104_0.jpg,1,0,0,0,0
200500735,1,장방형,"red_brown, red_brown",D:/drug/cropped\200500735_0.jpg,0,0,0,1,0
200100837,0,원형,"white, white",D:/drug/cropped\200100837_0.jpg,1,0,0,0,0
200200734,0,원형,"white, white",D:/drug/cropped\200200734_0.jpg,1,0,0,0,0
200200735,0,원형,"white, white",D:/drug/cropped\200200735_0.jpg,1,0,0,0,0
198900741,0,원형,"white, white",D:/drug/cropped\198900741_0.jpg,1,0,0,0,0
199600367,0,장방형,"green, green",D:/drug/cropped\199600367_0.jpg,0,0,1,0,0
198200131,1,장방형,"green, green",D:/drug/cropped\198200131_0.jpg,0,0,1,0,0
198600236,0,타원형,"white, white",D:/drug/cropped\198600236_0.jpg,1,0,0,0,0
200200643,0,원형,"white, white",D:/drug/cropped\200200643_0.jpg,1,0,0,0,0
198600509,0,원형,"white, white",D:/drug/cropped\198600509_0.jpg,1,0,0,0,0
199100838,1,장방형,"black_blue_purple, white",D:/drug/cropped\199100838_0.jpg,1,0,0,0,1
197500188,0,원형,"green, green",D:/drug/cropped\197500188_0.jpg,0,0,1,0,0
200500767,0,기타,"yellow, yellow",D:/drug/cropped\200500767_0.jpg,0,1,0,0,0
199400711,0,원형,"white, white",D:/drug/cropped\199400711_0.jpg,1,0,0,0,0
200500892,0,기타,"white, white",D:/drug/cropped\200500892_0.jpg,1,0,0,0,0
200300566,0,원형,"white, white",D:/drug/cropped\200300566_0.jpg,1,0,0,0,0
200703757,0,원형,"yellow, yellow",D:/drug/cropped\200703757_0.jpg,0,1,0,0,0
200300567,0,원형,"yellow, yellow",D:/drug/cropped\200300567_0.jpg,0,1,0,0,0
200200644,0,타원형,"red_brown, red_brown",D:/drug/cropped\200200644_0.jpg,0,0,0,1,0
199701063,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\199701063_0.jpg,0,0,0,0,1
199701064,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\199701064_0.jpg,0,0,0,0,1
199701065,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\199701065_0.jpg,0,0,0,0,1
200400934,0,원형,"white, white",D:/drug/cropped\200400934_0.jpg,1,0,0,0,0
200500426,1,장방형,"white, white",D:/drug/cropped\200500426_0.jpg,1,0,0,0,0
200600080,0,타원형,"yellow, yellow",D:/drug/cropped\200600080_0.jpg,0,1,0,0,0
200500714,0,원형,"white, white",D:/drug/cropped\200500714_0.jpg,1,0,0,0,0
200500715,0,원형,"red_brown, red_brown",D:/drug/cropped\200500715_0.jpg,0,0,0,1,0
200500717,0,원형,"white, white",D:/drug/cropped\200500717_0.jpg,1,0,0,0,0
200500719,0,타원형,"yellow, yellow",D:/drug/cropped\200500719_0.jpg,0,1,0,0,0
200500772,0,장방형,"red_brown, red_brown",D:/drug/cropped\200500772_0.jpg,0,0,0,1,0
200300569,1,장방형,"green, yellow",D:/drug/cropped\200300569_0.jpg,0,1,1,0,0
197900013,0,원형,"yellow, yellow",D:/drug/cropped\197900013_0.jpg,0,1,0,0,0
199900835,0,원형,"white, white",D:/drug/cropped\199900835_0.jpg,1,0,0,0,0
200001190,0,원형,"white, white",D:/drug/cropped\200001190_0.jpg,1,0,0,0,0
200300655,0,타원형,"red_brown, red_brown",D:/drug/cropped\200300655_0.jpg,0,0,0,1,0
200600081,0,원형,"white, white",D:/drug/cropped\200600081_0.jpg,1,0,0,0,0
200600082,0,원형,"yellow, yellow",D:/drug/cropped\200600082_0.jpg,0,1,0,0,0
199100420,1,장방형,"black_blue_purple, white",D:/drug/cropped\199100420_0.jpg,1,0,0,0,1
197700088,0,원형,"white, white",D:/drug/cropped\197700088_0.jpg,1,0,0,0,0
200500713,0,타원형,"white, white",D:/drug/cropped\200500713_0.jpg,1,0,0,0,0
200600170,1,타원형,"yellow, yellow",D:/drug/cropped\200600170_0.jpg,0,1,0,0,0
200600172,0,원형,"green, green",D:/drug/cropped\200600172_0.jpg,0,0,1,0,0
200300572,0,원형,"white, white",D:/drug/cropped\200300572_0.jpg,1,0,0,0,0
200600173,0,장방형,"red_brown, red_brown",D:/drug/cropped\200600173_0.jpg,0,0,0,1,0
200600174,1,장방형,"red_brown, red_brown",D:/drug/cropped\200600174_0.jpg,0,0,0,1,0
200400772,1,장방형,"red_brown, red_brown",D:/drug/cropped\200400772_0.jpg,0,0,0,1,0
200300660,0,타원형,"red_brown, red_brown",D:/drug/cropped\200300660_0.jpg,0,0,0,1,0
200400920,0,원형,"white, white",D:/drug/cropped\200400920_0.jpg,1,0,0,0,0
200604199,0,각형,"white, white",D:/drug/cropped\200604199_0.jpg,1,0,0,0,0
198900344,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\198900344_0.jpg,0,0,0,0,1
199000363,0,장방형,"white, white",D:/drug/cropped\199000363_0.jpg,1,0,0,0,0
197700137,0,원형,"red_brown, red_brown",D:/drug/cropped\197700137_0.jpg,0,0,0,1,0
196200046,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\196200046_0.jpg,0,0,0,0,1
198700581,0,장방형,"yellow, yellow",D:/drug/cropped\198700581_0.jpg,0,1,0,0,0
200300286,0,타원형,"yellow, yellow",D:/drug/cropped\200300286_0.jpg,0,1,0,0,0
199700553,0,각형,"red_brown, red_brown",D:/drug/cropped\199700553_0.jpg,0,0,0,1,0
200000560,0,타원형,"white, white",D:/drug/cropped\200000560_0.jpg,1,0,0,0,0
200500776,0,원형,"white, white",D:/drug/cropped\200500776_0.jpg,1,0,0,0,0
200400910,0,타원형,"yellow, yellow",D:/drug/cropped\200400910_0.jpg,0,1,0,0,0
200400913,0,원형,"yellow, yellow",D:/drug/cropped\200400913_0.jpg,0,1,0,0,0
200400914,1,장방형,"black_blue_purple, white",D:/drug/cropped\200400914_0.jpg,1,0,0,0,1
200500872,0,원형,"white, white",D:/drug/cropped\200500872_0.jpg,1,0,0,0,0
200803828,0,장방형,"yellow, yellow",D:/drug/cropped\200803828_0.jpg,0,1,0,0,0
200400930,0,장방형,"yellow, yellow",D:/drug/cropped\200400930_0.jpg,0,1,0,0,0
200400733,1,장방형,"black_blue_purple, white",D:/drug/cropped\200400733_0.jpg,1,0,0,0,1
200308476,0,원형,"yellow, yellow",D:/drug/cropped\200308476_0.jpg,0,1,0,0,0
200512148,0,기타,"white, white",D:/drug/cropped\200512148_0.jpg,1,0,0,0,0
199604623,0,원형,"red_brown, red_brown",D:/drug/cropped\199604623_0.jpg,0,0,0,1,0
200307659,0,타원형,"white, white",D:/drug/cropped\200307659_0.jpg,1,0,0,0,0
200409940,0,장방형,"white, white",D:/drug/cropped\200409940_0.jpg,1,0,0,0,0
197800021,0,장방형,"red_brown, red_brown",D:/drug/cropped\197800021_0.jpg,0,0,0,1,0
200805428,0,타원형,"red_brown, red_brown",D:/drug/cropped\200805428_0.jpg,0,0,0,1,0
200803800,0,타원형,"white, white",D:/drug/cropped\200803800_0.jpg,1,0,0,0,0
197800009,0,타원형,"yellow, yellow",D:/drug/cropped\197800009_0.jpg,0,1,0,0,0
200008989,0,원형,"white, white",D:/drug/cropped\200008989_0.jpg,1,0,0,0,0
200008990,0,각형,"yellow, yellow",D:/drug/cropped\200008990_0.jpg,0,1,0,0,0
200400336,1,장방형,"black_blue_purple, white",D:/drug/cropped\200400336_0.jpg,1,0,0,0,1
200300283,0,타원형,"yellow, yellow",D:/drug/cropped\200300283_0.jpg,0,1,0,0,0
200500435,1,장방형,"red_brown, red_brown",D:/drug/cropped\200500435_0.jpg,0,0,0,1,0
200300284,0,기타,"green, green",D:/drug/cropped\200300284_0.jpg,0,0,1,0,0
200500437,1,장방형,"red_brown, red_brown",D:/drug/cropped\200500437_0.jpg,0,0,0,1,0
196900043,0,원형,"green, green",D:/drug/cropped\196900043_0.jpg,0,0,1,0,0
200100392,0,원형,"green, green",D:/drug/cropped\200100392_0.jpg,0,0,1,0,0
200600084,0,원형,"white, white",D:/drug/cropped\200600084_0.jpg,1,0,0,0,0
200300551,0,타원형,"yellow, yellow",D:/drug/cropped\200300551_0.jpg,0,1,0,0,0
199900723,1,타원형,"green, green",D:/drug/cropped\199900723_0.jpg,0,0,1,0,0
200400738,1,장방형,"red_brown, red_brown",D:/drug/cropped\200400738_0.jpg,0,0,0,1,0
198300374,1,장방형,"red_brown, yellow",D:/drug/cropped\198300374_0.jpg,0,1,0,1,0
200100779,0,원형,"white, white",D:/drug/cropped\200100779_0.jpg,1,0,0,0,0
200100780,1,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\200100780_0.jpg,0,0,0,0,1
200400752,0,원형,"green, green",D:/drug/cropped\200400752_0.jpg,0,0,1,0,0
200400753,1,장방형,"yellow, yellow",D:/drug/cropped\200400753_0.jpg,0,1,0,0,0
200400757,1,장방형,"black_blue_purple, white",D:/drug/cropped\200400757_0.jpg,1,0,0,0,1
198500436,1,장방형,"red_brown, red_brown",D:/drug/cropped\198500436_0.jpg,0,0,0,1,0
197700126,0,타원형,"white, white",D:/drug/cropped\197700126_0.jpg,1,0,0,0,0
198700516,0,장방형,"green, green",D:/drug/cropped\198700516_0.jpg,0,0,1,0,0
200200631,1,장방형,"yellow, white",D:/drug/cropped\200200631_0.jpg,1,1,0,0,0
200400763,0,타원형,"red_brown, red_brown",D:/drug/cropped\200400763_0.jpg,0,0,0,1,0
200200642,0,원형,"white, white",D:/drug/cropped\200200642_0.jpg,1,0,0,0,0
200400766,1,장방형,"red_brown, red_brown",D:/drug/cropped\200400766_0.jpg,0,0,0,1,0
200500721,1,장방형,"green, green",D:/drug/cropped\200500721_0.jpg,0,0,1,0,0
199100413,1,장방형,"red_brown, white",D:/drug/cropped\199100413_0.jpg,1,0,0,1,0
199400362,0,장방형,"white, white",D:/drug/cropped\199400362_0.jpg,1,0,0,0,0
200603930,0,원형,"white, white",D:/drug/cropped\200603930_0.jpg,1,0,0,0,0
199700548,1,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\199700548_0.jpg,0,0,0,0,1
200000548,0,원형,"white, white",D:/drug/cropped\200000548_0.jpg,1,0,0,0,0
200200327,0,장방형,"white, white",D:/drug/cropped\200200327_0.jpg,1,0,0,0,0
200300268,0,타원형,"white, white",D:/drug/cropped\200300268_0.jpg,1,0,0,0,0
200300269,1,장방형,"green, yellow",D:/drug/cropped\200300269_0.jpg,0,1,1,0,0
196400005,0,원형,"white, white",D:/drug/cropped\196400005_0.jpg,1,0,0,0,0
200401321,0,장방형,"white, white",D:/drug/cropped\200401321_0.jpg,1,0,0,0,0
200404889,1,장방형,"green, yellow",D:/drug/cropped\200404889_0.jpg,0,1,1,0,0
199906848,0,장방형,"red_brown, red_brown",D:/drug/cropped\199906848_0.jpg,0,0,0,1,0
200108423,0,원형,"yellow, yellow",D:/drug/cropped\200108423_0.jpg,0,1,0,0,0
200108424,0,원형,"yellow, yellow",D:/drug/cropped\200108424_0.jpg,0,1,0,0,0
200108425,0,원형,"yellow, yellow",D:/drug/cropped\200108425_0.jpg,0,1,0,0,0
200008591,0,원형,"white, white",D:/drug/cropped\200008591_0.jpg,1,0,0,0,0
200108428,1,장방형,"yellow, yellow",D:/drug/cropped\200108428_0.jpg,0,1,0,0,0
200108429,0,원형,"white, white",D:/drug/cropped\200108429_0.jpg,1,0,0,0,0
200702448,0,원형,"white, white",D:/drug/cropped\200702448_0.jpg,1,0,0,0,0
200702509,0,장방형,"white, white",D:/drug/cropped\200702509_0.jpg,1,0,0,0,0
200808211,1,장방형,"green, yellow",D:/drug/cropped\200808211_0.jpg,0,1,1,0,0
199200144,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\199200144_0.jpg,0,0,0,0,1
198800060,1,장방형,"red_brown, red_brown",D:/drug/cropped\198800060_0.jpg,0,0,0,1,0
199000049,0,원형,"white, white",D:/drug/cropped\199000049_0.jpg,1,0,0,0,0
199400050,0,원형,"red_brown, red_brown",D:/drug/cropped\199400050_0.jpg,0,0,0,1,0
200300409,0,기타,"green, green",D:/drug/cropped\200300409_0.jpg,0,0,1,0,0
199300120,0,원형,"white, white",D:/drug/cropped\199300120_0.jpg,1,0,0,0,0
199300124,0,원형,"white, white",D:/drug/cropped\199300124_0.jpg,1,0,0,0,0
199300848,0,원형,"red_brown, red_brown",D:/drug/cropped\199300848_0.jpg,0,0,0,1,0
200710140,0,원형,"red_brown, red_brown",D:/drug/cropped\200710140_0.jpg,0,0,0,1,0
200000067,0,원형,"white, white",D:/drug/cropped\200000067_0.jpg,1,0,0,0,0
199500050,0,원형,"green, green",D:/drug/cropped\199500050_0.jpg,0,0,1,0,0
199600087,1,장방형,"yellow, yellow",D:/drug/cropped\199600087_0.jpg,0,1,0,0,0
199600089,0,원형,"white, white",D:/drug/cropped\199600089_0.jpg,1,0,0,0,0
199600090,0,각형,"white, white",D:/drug/cropped\199600090_0.jpg,1,0,0,0,0
199200163,0,원형,"green, green",D:/drug/cropped\199200163_0.jpg,0,0,1,0,0
199400069,1,장방형,"yellow, yellow",D:/drug/cropped\199400069_0.jpg,0,1,0,0,0
198500032,0,장방형,"yellow, yellow",D:/drug/cropped\198500032_0.jpg,0,1,0,0,0
199200165,0,장방형,"yellow, yellow",D:/drug/cropped\199200165_0.jpg,0,1,0,0,0
199400070,0,원형,"yellow, yellow",D:/drug/cropped\199400070_0.jpg,0,1,0,0,0
200808210,0,장방형,"yellow, yellow",D:/drug/cropped\200808210_0.jpg,0,1,0,0,0
200308338,0,타원형,"yellow, yellow",D:/drug/cropped\200308338_0.jpg,0,1,0,0,0
200308340,0,타원형,"yellow, yellow",D:/drug/cropped\200308340_0.jpg,0,1,0,0,0
200100769,1,장방형,"yellow, white",D:/drug/cropped\200100769_0.jpg,1,1,0,0,0
200300281,1,장방형,"yellow, yellow",D:/drug/cropped\200300281_0.jpg,0,1,0,0,0
200300282,1,장방형,"red_brown, red_brown",D:/drug/cropped\200300282_0.jpg,0,0,0,1,0
200400325,0,장방형,"yellow, yellow",D:/drug/cropped\200400325_0.jpg,0,1,0,0,0
200400326,0,장방형,"green, green",D:/drug/cropped\200400326_0.jpg,0,0,1,0,0
199700106,0,원형,"white, white",D:/drug/cropped\199700106_0.jpg,1,0,0,0,0
